stoich,algo,run_label,run_label_unified,type,path,status,slurm_job_id,energy_ev_per_atom,space_group,formula_reduced,time_taken,continuation_of
In10Ga2ZnO19,pso,1,1,long,phase-diagram/vertical-line/In10Ga2ZnO19/pso,complete,1992747,-5.46615,P1 (1),Ga2In10O19Zn,13:25:15,
In10Ga2ZnO19,pso,2,2,long,phase-diagram/vertical-line/In10Ga2ZnO19/pso-2,complete,1992748,-5.44761,P1 (1),Ga2In10O19Zn,17:00:49,
In10Ga2ZnO19,pso,s1,s1,short,short-runs/complete-runs/In10Ga2ZnO19/pso-s1,complete,2097574,-5.42901,P1 (1),Ga2In10O19Zn,1:23:40,
In10Ga2ZnO19,pso,s2,s2,short,short-runs/complete-runs/In10Ga2ZnO19/pso-s2,complete,2097575,-5.33977,P1 (1),Ga2In10O19Zn,0:49:11,
In10Ga2ZnO19,rand,1,1,long,phase-diagram/vertical-line/In10Ga2ZnO19/rand,complete,1992751,-5.45045,P1 (1),Ga2In10O19Zn,6:14:33,
In10Ga2ZnO19,rand,2,2,long,phase-diagram/vertical-line/In10Ga2ZnO19/rand-2,complete,1992752,-5.43454,P1 (1),Ga2In10O19Zn,5:35:55,
In10Ga2ZnO19,rand,s1,s1,short,short-runs/complete-runs/In10Ga2ZnO19/rand-s1,complete,2097572,-5.35536,P1 (1),Ga2In10O19Zn,0:54:42,
In10Ga2ZnO19,rand,s2,s2,short,short-runs/complete-runs/In10Ga2ZnO19/rand-s2,complete,2097573,-5.40273,P1 (1),Ga2In10O19Zn,1:24:28,
In10Ga2ZnO19,tpe,1,1,long,phase-diagram/vertical-line/In10Ga2ZnO19/tpe,complete,1992753,-5.42918,P1 (1),Ga2In10O19Zn,16:17:37,
In10Ga2ZnO19,tpe,2,2,long,phase-diagram/vertical-line/In10Ga2ZnO19/tpe-2,complete,1992754,-5.40258,P1 (1),Ga2In10O19Zn,19:08:09,
In10Ga2ZnO19,tpe,s1,s1,short,short-runs/complete-runs/In10Ga2ZnO19/tpe-s1,no_cif,2097570,N/A,N/A,N/A,N/A,
In10Ga2ZnO19,tpe,s2,s2,short,short-runs/complete-runs/In10Ga2ZnO19/tpe-s2,no_cif,2097571,N/A,N/A,N/A,N/A,
In2Ga2ZnO7,pso,1,1,long,benchmarks/In2Ga2ZnO7/pso,complete,1937366,-5.4796,Amm2 (38),Ga2In2O7Zn,11:47:53,
In2Ga2ZnO7,pso,1,2,long,phase-diagram/vertical-line/In2Ga2ZnO7/pso,complete,1992851,-5.55296,Cm (8),Ga2In2O7Zn,6:37:17,
In2Ga2ZnO7,pso,2,3,long,phase-diagram/vertical-line/In2Ga2ZnO7/pso-2,complete,1992890,-5.46785,Cm (8),Ga2In2O7Zn,7:59:15,
In2Ga2ZnO7,pso,s1,s1,short,short-runs/complete-runs/In2Ga2ZnO7/pso-s1,complete,2091885,-5.437,Cm (8),Ga2In2O7Zn,1:21:42,
In2Ga2ZnO7,pso,s2,s2,short,short-runs/complete-runs/In2Ga2ZnO7/pso-s2,complete,2091886,-5.45399,Cm (8),Ga2In2O7Zn,1:00:46,
In2Ga2ZnO7,pso,s3,s3,short,short-runs/complete-runs/In2Ga2ZnO7/pso-s3,complete,2097562,-5.46826,P1 (1),Ga2In2O7Zn,1:06:17,
In2Ga2ZnO7,pso,s4,s4,short,short-runs/complete-runs/In2Ga2ZnO7/pso-s4,complete,2097563,-5.48172,Cm (8),Ga2In2O7Zn,0:28:02,
In2Ga2ZnO7,pso,s5,s5,short,short-runs/complete-runs/In2Ga2ZnO7/pso-s5,complete,2101961,-5.50178,Pm (6),Ga2In2O7Zn,0:54:00,
In2Ga2ZnO7,pso,s6,s6,short,short-runs/complete-runs/In2Ga2ZnO7/pso-s6,complete,2101962,-5.45058,Cm (8),Ga2In2O7Zn,0:59:44,
In2Ga2ZnO7,rand,1,1,long,benchmarks/In2Ga2ZnO7/rand,complete,1937368,-5.4723,P1 (1),Ga2In2O7Zn,10:31:21,
In2Ga2ZnO7,rand,1,2,long,phase-diagram/vertical-line/In2Ga2ZnO7/rand,complete,1992849,-5.48599,P1 (1),Ga2In2O7Zn,4:02:04,
In2Ga2ZnO7,rand,2,3,long,phase-diagram/vertical-line/In2Ga2ZnO7/rand-2,complete,1992888,-5.54955,Cm (8),Ga2In2O7Zn,4:57:16,
In2Ga2ZnO7,rand,s1,s1,short,short-runs/complete-runs/In2Ga2ZnO7/rand-s1,complete,2091883,-5.42636,P1 (1),Ga2In2O7Zn,0:40:17,
In2Ga2ZnO7,rand,s2,s2,short,short-runs/complete-runs/In2Ga2ZnO7/rand-s2,complete,2091884,-5.47328,P1 (1),Ga2In2O7Zn,1:01:32,
In2Ga2ZnO7,rand,s3,s3,short,short-runs/complete-runs/In2Ga2ZnO7/rand-s3,complete,2097560,-5.45158,Cm (8),Ga2In2O7Zn,0:37:26,
In2Ga2ZnO7,rand,s4,s4,short,short-runs/complete-runs/In2Ga2ZnO7/rand-s4,complete,2097561,-5.51494,Cm (8),Ga2In2O7Zn,1:07:24,
In2Ga2ZnO7,rand,s5,s5,short,short-runs/complete-runs/In2Ga2ZnO7/rand-s5,complete,2101959,-5.41898,P1 (1),Ga2In2O7Zn,1:08:32,
In2Ga2ZnO7,rand,s6,s6,short,short-runs/complete-runs/In2Ga2ZnO7/rand-s6,complete,2101960,-5.48019,Cm (8),Ga2In2O7Zn,0:45:32,
In2Ga2ZnO7,tpe,1,1,long,benchmarks/In2Ga2ZnO7/tpe,complete,1954777,-5.49951,Cm (8),Ga2In2O7Zn,4:53:10,
In2Ga2ZnO7,tpe,1,2,long,phase-diagram/vertical-line/In2Ga2ZnO7/tpe,complete,1992847,-5.49474,Cm (8),Ga2In2O7Zn,5:49:05,
In2Ga2ZnO7,tpe,2,3,long,phase-diagram/vertical-line/In2Ga2ZnO7/tpe-2,complete,1992848,-5.49865,Cm (8),Ga2In2O7Zn,5:02:38,
In2Ga2ZnO7,tpe,s1,s1,short,short-runs/complete-runs/In2Ga2ZnO7/tpe-s1,complete,2091881,-5.47666,P1 (1),Ga2In2O7Zn,0:20:32,
In2Ga2ZnO7,tpe,s2,s2,short,short-runs/complete-runs/In2Ga2ZnO7/tpe-s2,complete,2091882,-5.38522,P1 (1),Ga2In2O7Zn,0:49:57,
In2Ga2ZnO7,tpe,s3,s3,short,short-runs/complete-runs/In2Ga2ZnO7/tpe-s3,complete,2097558,-5.38839,P1 (1),Ga2In2O7Zn,0:52:37,
In2Ga2ZnO7,tpe,s4,s4,short,short-runs/complete-runs/In2Ga2ZnO7/tpe-s4,complete,2097559,-5.42038,P1 (1),Ga2In2O7Zn,0:37:55,
In2Ga2ZnO7,tpe,s5,s5,short,short-runs/complete-runs/In2Ga2ZnO7/tpe-s5,complete,2101957,-5.42204,P1 (1),Ga2In2O7Zn,0:49:59,
In2Ga2ZnO7,tpe,s6,s6,short,short-runs/complete-runs/In2Ga2ZnO7/tpe-s6,complete,2101958,-5.46984,P1 (1),Ga2In2O7Zn,0:20:51,
In2Ga4Zn2O11,pso,1,1,long,phase-diagram/vertical-line/In2Ga4Zn2O11/pso,complete,1992857,-5.47443,P1 (1),Ga4In2O11Zn2,13:09:44,
In2Ga4Zn2O11,pso,2,2,long,phase-diagram/vertical-line/In2Ga4Zn2O11/pso-2,complete,1992858,-5.46379,P1 (1),Ga4In2O11Zn2,8:48:26,
In2Ga4Zn2O11,rand,1,1,long,phase-diagram/vertical-line/In2Ga4Zn2O11/rand,complete,1992855,-5.48517,Cm (8),Ga4In2O11Zn2,4:16:19,
In2Ga4Zn2O11,rand,2,2,long,phase-diagram/vertical-line/In2Ga4Zn2O11/rand-2,complete,1992856,-5.44805,P1 (1),Ga4In2O11Zn2,4:26:19,
In2Ga4Zn2O11,tpe,1,1,long,phase-diagram/vertical-line/In2Ga4Zn2O11/tpe,complete,1992853,-5.45949,Cm (8),Ga4In2O11Zn2,3:47:48,
In2Ga4Zn2O11,tpe,2,2,long,phase-diagram/vertical-line/In2Ga4Zn2O11/tpe-2,complete,1992854,-5.45213,P1 (1),Ga4In2O11Zn2,8:06:34,
In2Ga6Zn2O14,pso,1,1,long,experimental-points/Ga_x/In2Ga6Zn2O14/pso,complete,1992924,-5.57775,P1 (1),Ga3InO7Zn,8:22:14,
In2Ga6Zn2O14,pso,2,2,long,experimental-points/Ga_x/In2Ga6Zn2O14/pso-2,complete,1992925,-5.54145,P1 (1),Ga3InO7Zn,18:59:30,
In2Ga6Zn2O14,rand,1,1,long,experimental-points/Ga_x/In2Ga6Zn2O14/rand,complete,1992922,-5.49471,P1 (1),Ga3InO7Zn,14:38:10,
In2Ga6Zn2O14,rand,2,2,long,experimental-points/Ga_x/In2Ga6Zn2O14/rand-2,complete,1992923,-5.56942,Cm (8),Ga3InO7Zn,15:15:25,
In2Ga6Zn2O14,tpe,1,1,long,experimental-points/Ga_x/In2Ga6Zn2O14/tpe,complete,1992920,-5.53615,P1 (1),Ga3InO7Zn,20:18:02,
In2Ga6Zn2O14,tpe,2,2,long,experimental-points/Ga_x/In2Ga6Zn2O14/tpe-2,complete,1992921,-5.52786,P1 (1),Ga3InO7Zn,12:29:22,
In2Ga6Zn3O15,pso,1,1,long,phase-diagram/vertical-line/In2Ga6Zn3O15/pso,complete,1992864,-5.47658,P1 (1),Ga6In2O15Zn3,3:48:38,
In2Ga6Zn3O15,pso,2,2,long,phase-diagram/vertical-line/In2Ga6Zn3O15/pso-2,complete,1992865,-5.45295,P1 (1),Ga6In2O15Zn3,7:29:40,
In2Ga6Zn3O15,rand,1,1,long,phase-diagram/vertical-line/In2Ga6Zn3O15/rand,complete,1992862,-5.4545,P1 (1),Ga6In2O15Zn3,9:12:48,
In2Ga6Zn3O15,rand,2,2,long,phase-diagram/vertical-line/In2Ga6Zn3O15/rand-2,complete,1992863,-5.45082,P1 (1),Ga6In2O15Zn3,7:52:26,
In2Ga6Zn3O15,tpe,1,1,long,phase-diagram/vertical-line/In2Ga6Zn3O15/tpe,complete,1992860,-5.45294,P1 (1),Ga6In2O15Zn3,22:50:54,
In2Ga6Zn3O15,tpe,2,2,long,phase-diagram/vertical-line/In2Ga6Zn3O15/tpe-2,complete,1992861,-5.43323,P1 (1),Ga6In2O15Zn3,22:38:56,
In3Ga3Zn2O11,pso,1,1,long,experimental-points/Ga_x/In3Ga3Zn2O11/pso,complete,1992901,-5.40653,Cm (8),Ga3In3O11Zn2,11:41:42,
In3Ga3Zn2O11,pso,2,2,long,experimental-points/Ga_x/In3Ga3Zn2O11/pso-2,complete,1992902,-5.40925,P1 (1),Ga3In3O11Zn2,7:25:18,
In3Ga3Zn2O11,pso,s1,s1,short,short-runs/complete-runs/In3Ga3Zn2O11/pso-s1,complete,2097580,-5.38824,Cm (8),Ga3In3O11Zn2,0:45:08,
In3Ga3Zn2O11,pso,s2,s2,short,short-runs/complete-runs/In3Ga3Zn2O11/pso-s2,complete,2097581,-5.2805,P1 (1),Ga3In3O11Zn2,1:23:31,
In3Ga3Zn2O11,pso,s3,s3,short,short-runs/complete-runs/In3Ga3Zn2O11/pso-s3,complete,2101968,-5.36053,P1 (1),Ga3In3O11Zn2,0:50:47,
In3Ga3Zn2O11,pso,s4,s4,short,short-runs/complete-runs/In3Ga3Zn2O11/pso-s4,complete,2101969,-5.34862,P1 (1),Ga3In3O11Zn2,1:00:18,
In3Ga3Zn2O11,rand,1,1,long,experimental-points/Ga_x/In3Ga3Zn2O11/rand,complete,1992899,-5.39362,P1 (1),Ga3In3O11Zn2,6:00:36,
In3Ga3Zn2O11,rand,2,2,long,experimental-points/Ga_x/In3Ga3Zn2O11/rand-2,complete,1992900,-5.41538,Cm (8),Ga3In3O11Zn2,3:49:33,
In3Ga3Zn2O11,rand,s1,s1,short,short-runs/complete-runs/In3Ga3Zn2O11/rand-s1,complete,2097578,-5.40478,Cm (8),Ga3In3O11Zn2,1:30:34,
In3Ga3Zn2O11,rand,s2,s2,short,short-runs/complete-runs/In3Ga3Zn2O11/rand-s2,complete,2097579,-5.39756,Cm (8),Ga3In3O11Zn2,1:31:19,
In3Ga3Zn2O11,rand,s3,s3,short,short-runs/complete-runs/In3Ga3Zn2O11/rand-s3,complete,2101966,-5.37048,P1 (1),Ga3In3O11Zn2,0:51:31,
In3Ga3Zn2O11,rand,s4,s4,short,short-runs/complete-runs/In3Ga3Zn2O11/rand-s4,complete,2101967,-5.37048,P1 (1),Ga3In3O11Zn2,0:46:31,
In3Ga3Zn2O11,tpe,1,1,long,experimental-points/Ga_x/In3Ga3Zn2O11/tpe,complete,1992897,-5.41381,P1 (1),Ga3In3O11Zn2,6:05:27,
In3Ga3Zn2O11,tpe,2,2,long,experimental-points/Ga_x/In3Ga3Zn2O11/tpe-2,complete,1992898,-5.41396,P1 (1),Ga3In3O11Zn2,5:56:25,
In3Ga3Zn2O11,tpe,s1,s1,short,short-runs/complete-runs/In3Ga3Zn2O11/tpe-s1,complete,2097576,-5.38611,P1 (1),Ga3In3O11Zn2,0:55:33,
In3Ga3Zn2O11,tpe,s2,s2,short,short-runs/complete-runs/In3Ga3Zn2O11/tpe-s2,complete,2097577,-5.37063,P1 (1),Ga3In3O11Zn2,0:34:22,
In3Ga3Zn2O11,tpe,s3,s3,short,short-runs/complete-runs/In3Ga3Zn2O11/tpe-s3,complete,2101964,-5.41057,P1 (1),Ga3In3O11Zn2,0:33:53,
In3Ga3Zn2O11,tpe,s4,s4,short,short-runs/complete-runs/In3Ga3Zn2O11/tpe-s4,complete,2101965,-5.37391,P1 (1),Ga3In3O11Zn2,0:22:33,
In3Ga3Zn6O15,pso,1,1,long,experimental-points/Zn_x/In3Ga3Zn6O15/pso,complete,1992956,-5.10232,P1 (1),GaInO5Zn2,22:44:52,
In3Ga3Zn6O15,pso,2,2,long,experimental-points/Zn_x/In3Ga3Zn6O15/pso-2,complete,1992957,-9.58818,P1 (1),GaInO5Zn2,11:34:24,
In3Ga3Zn6O15,pso,s1,s1,short,short-runs/working-dir/In3Ga3Zn6O15/pso-s1,complete,2104569,-4.94398,P1 (1),GaInO5Zn2,0:46:15,
In3Ga3Zn6O15,pso,s2,s2,short,short-runs/working-dir/In3Ga3Zn6O15/pso-s2,complete,2104570,-5.0825,P1 (1),GaInO5Zn2,1:17:58,
In3Ga3Zn6O15,rand,1,1,long,experimental-points/Zn_x/In3Ga3Zn6O15/rand,complete,1992954,-5.07276,P1 (1),GaInO5Zn2,5:22:52,
In3Ga3Zn6O15,rand,2,2,long,experimental-points/Zn_x/In3Ga3Zn6O15/rand-2,complete,1992955,-5.09834,P1 (1),GaInO5Zn2,9:24:29,
In3Ga3Zn6O15,rand,s1,s1,short,short-runs/working-dir/In3Ga3Zn6O15/rand-s1,complete,2104567,-4.87075,P1 (1),GaInO5Zn2,N/A,
In3Ga3Zn6O15,rand,s2,s2,short,short-runs/working-dir/In3Ga3Zn6O15/rand-s2,complete,2104568,-4.9295,P1 (1),GaInO5Zn2,N/A,
